ref,name_zh,name_en,mc_x,mc_z,layer,lat,lon
Y07,大坪林,大坪林,2467,7016,,24.9828172,121.5416446
Y08,十四張,Shisizhang,1047,6838,,24.9844703,121.5275892
Y09,秀朗橋,Xiulang Bridge,773,6190,,24.9903315,121.5249012
Y10,景平,Jingping,-108,5992,,24.9921502,121.5161735
Y11,景安,Jingan,-1165,5858,,24.9933996,121.5057104
Y12,中和,Zhonghe,-2164,4874,,25.0023167,121.4958503
Y13,橋和,Qiaohe,-2731,4622,,25.0046042,121.4902458
Y14,中原,Zhongyuan,-3335,4229,,25.0081782,121.4842739
Y15,板新,Banxin,-4534,3529,,25.0145313,121.472418
Y16,板橋,Banqiao,-5324,3459,,25.0151874,121.464592
Y17,新埔民生,Xinpu Minsheng,-5119,2247,,25.0261266,121.4666661
Y18,頭前庄,Touqianzhuang,-5765,723,,25.0399026,121.4603193
Y19,幸福,Xingfu,-5804,-394,,25.0499888,121.459967
Y20,新北產業園區,New Taipei Industrial Park,-5824,-1643,,25.0612686,121.4598089
,第一航廈,Terminal 1,-28206,-3643,,25.0798462,121.2380095
,第一航廈,Terminal 1,-28442,-3876,,25.0819504,121.235669
